xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_448,2015-03-03,91.3,,,,23814
detail_449,2016-02-11,6.75,,,,23869
detail_450,2021-03-23,10,,,,9986
detail_451,2013-11-26,312.63,,,,23485
detail_452,2016-10-31,56.45,,,,23587
detail_453,2017-08-17,8,,,,19468
detail_454,2020-04-30,8.1,,,,19689
detail_455,2017-04-21,1.26,,,,23725
detail_456,2017-06-05,3.24,,,,13038
detail_457,2012-04-15,0.94,,,,13038
detail_458,2015-09-24,21.84,,,,23807
detail_459,2020-06-19,25.03,,,,23666
detail_460,2016-07-20,1.57,,,,23746
detail_461,2017-09-29,128.79,,,,23759
detail_462,2012-09-26,72,,,,23759
detail_463,2015-03-31,5.8,,,,11903
detail_464,2018-02-20,1.76,,,,20366
detail_465,2017-10-01,2.4,,,,22465
detail_466,2019-05-23,6.2,,,,22465
detail_467,2015-03-17,59.4,,,,23908
detail_468,2015-03-03,17.4,,,,23908
detail_469,2017-12-12,2.21,,,,24238
detail_470,2017-10-09,1.34,,,,24238
detail_471,2015-11-10,2.5,,,,24257
detail_472,2015-03-27,5.23,,,,24006
detail_473,2015-03-06,17.28,,,,24019
detail_474,2020-07-16,0.14,,,,24019
detail_475,2021-08-18,15,,,,14700
detail_476,2015-03-31,16.06,,,,19469
detail_477,2015-09-29,3.24,,,,24040
detail_478,2017-02-20,6.12,,,,24096
detail_479,2012-06-30,12.87,,,,24096
detail_480,2017-10-27,0.12,,,,24155
detail_481,2017-09-28,841.05,,,,24178
detail_482,2016-12-05,0.88,,,,24336
detail_483,2019-10-30,7,,,,14709
detail_484,2021-05-12,2.08,,,,24496
detail_485,2014-12-03,236.1,,,,24515
detail_486,2020-05-12,0.02,,,,24569
detail_487,2017-10-05,2.02,,,,24571
detail_488,2020-07-22,3.02,,,,24598
detail_489,2017-09-19,1.01,,,,24618
detail_490,2015-09-28,56.76,,,,24629
detail_491,2015-05-05,10.99,,,,24645
detail_492,2017-11-23,0.86,,,,19565
detail_493,2017-05-18,3.2,,,,24650
detail_494,2017-12-18,6.6,,,,24650
detail_495,2019-05-03,5.5,,,,11039
detail_496,2019-03-17,20.1,,,,19525
detail_497,2016-10-01,3.35,,,,20246
detail_498,2011-09-30,10.2,,,,20246
detail_499,2015-03-10,71.76,,,,24462
detail_500,2016-10-19,1.65,,,,20247
detail_501,2020-04-03,52.48,,,,24475
detail_502,2015-08-31,4.86,,,,16419
detail_503,2015-07-15,0.78,,,,20249
detail_504,2015-02-16,7.56,,,,13061
detail_505,2015-09-30,85.5,,,,24935
detail_506,2016-02-26,34.2,,,,24935
detail_507,2014-09-19,11.44,,,,24935
detail_508,2015-11-19,1.68,,,,26595
detail_509,2021-03-12,17.82,,,,25142
detail_510,2015-05-18,6.1,,,,19436
detail_511,2014-02-19,71.22,,,,25176
detail_512,2017-11-08,0.67,,,,25190
detail_513,2020-03-20,701.25,,,,25201
detail_514,2019-04-29,39.9,,,,24795
detail_515,2018-04-06,0.3,,,,24815
detail_516,2014-12-03,22.95,,,,25081
detail_517,2015-09-30,54.6,,,,25088
detail_518,2015-07-31,15.08,,,,25930
detail_519,2015-03-25,139.92,,,,25932
detail_520,2015-09-23,420.75,,,,25932
detail_521,2016-07-18,6.4,,,,25954
detail_522,2015-10-12,1.18,,,,26101
detail_523,2015-12-17,323.96,,,,26118
detail_524,2015-09-29,1186.64,,,,26118
detail_525,2016-09-28,1030.3,,,,26120
detail_526,2016-06-09,5.32,,,,25251
detail_527,2015-09-30,127.92,,,,25263
detail_528,2011-12-13,667.66,,,,25263
detail_529,2015-03-02,506.36,,,,25263
detail_530,2012-09-27,286.45,,,,25263
detail_531,2017-11-09,2.07,,,,25266
detail_532,2018-04-23,2.02,,,,25271
detail_533,2016-03-29,41.04,,,,25323
detail_534,2020-06-09,9.75,,,,25324
detail_535,2016-04-20,1.92,,,,25342
detail_536,2021-01-04,15,,,,15636
detail_537,2017-11-29,1.93,,,,25515
detail_538,2016-09-21,53.2,,,,25252
detail_539,2015-08-14,10.62,,,,25256
detail_540,2015-09-23,157.41,,,,25284
detail_541,2017-11-28,1.2,,,,25314
detail_542,2020-10-22,9.75,,,,25465
detail_543,2022-08-28,31,,,,15644
detail_544,2019-04-09,22,,,,15646
detail_545,2015-03-23,11.95,,,,25513
detail_546,2019-11-18,11.42,,,,25528
detail_547,2018-06-26,3.74,,,,25536
detail_548,2020-09-08,7.37,,,,25531
detail_549,2017-12-29,1.3,,,,25535
detail_550,2017-03-29,13.3,,,,25556
detail_551,2013-06-21,6.65,,,,25631
detail_552,2017-10-26,0.84,,,,25637
detail_553,2020-01-07,0.12,,,,25645
detail_554,2013-05-21,5,,,,25646
detail_555,2011-11-01,8.16,,,,25668
detail_556,2016-06-10,5.94,,,,25685
detail_557,2011-04-01,0.9,,,,25695
detail_558,2017-12-20,17.34,,,,25808
detail_559,2017-12-15,1.44,,,,25590
detail_560,2021-09-07,1.62,,,,25591
detail_561,2020-09-01,84.8,,,,15658
detail_562,2017-10-27,8.55,,,,15826
detail_563,2017-12-05,3.78,,,,25766
detail_564,2017-12-04,2.77,,,,25827
